ID,Report,Stress,Happy,Sad,Nervous,Angry,Close,Annoyed,AnnoyedExpressed,partner,NanPercent,scl,nscrs.01,fscrs.01,amp.01,ActCount,BodyTemp,nscrs.02,fscrs.02,amp.02,IBI,BPM,HRV,AllWC,AllAnalytic,AllClout,AllAuthentic,AllTone,AllSixltr,AllDic,AllFunct,AllPronoun,AllPpron,AllI,AllWe,AllYou,AllShehe,AllThey,AllIpron,AllArticle,AllPreps,AllAuxverb,AllAdverb,AllConj,AllNegate,AllVerb,AllAdj,AllCompare,AllInterrog,AllNumber,AllQuant,AllAffect,AllPosemo,AllNegemo,AllAnx,AllAnger,AllSad,AllSocial,AllFamily,AllFriend,AllFemale,AllMale,AllCogproc,AllInsight,AllCause,AllDiscrep,AllTentat,AllCertain,AllDiffer,AllPercept,AllSee,AllHear,AllFeel,AllBio,AllBody,AllHealth,AllSexual,AllIngest,AllDrives,AllAffiliation,AllAchieve,AllPower,AllReward,AllRisk,AllWork,AllLeisure,AllHome,AllMoney,AllRelig,AllDeath,AllInformal,AllSwear,AllNetspeak,AllAssent,AllNonfl,AllFiller,AllIOnly,AllMeOnly,PitchMean,PitchMedian,PitchSD,PitchMin,PitchMax,PitchRange,LoudMean,LoudMedian,LoudSD,LoudMax
102,6,2,30,30,25,15,45,0,,1,0,0.287,6,0.1,0.1218,165.1477,92.6491,0,0,0,741.9346533,81.31447833,339.854955,74,36.79,65.76,45.17,51.03,6.76,95.95,59.46,16.22,6.76,1.35,0,2.7,1.35,1.35,9.46,6.76,12.16,13.51,6.76,4.05,4.05,27.03,1.35,1.35,5.41,0,1.35,4.05,2.7,1.35,0,0,0,8.11,0,0,1.35,1.35,5.41,1.35,1.35,0,0,1.35,1.35,0,0,0,0,4.05,0,0,0,4.05,8.11,0,0,1.35,5.41,1.35,0,0,4.05,0,0,0,10.81,0,0,2.7,6.76,1.35,1.35,0,291.068,272.9427,101.4492,114.7982,607.6847,492.8865,1.1021,0.7987,1.0147,5.8791
102,6,0,50,0,25,0,80,0,0,2,0.804123711,0,0,0,0,0,0,0,0,0,841.5945417,72.02084167,330.4208933,16,14.58,43.69,4.97,3.31,5.56,96.03,56.35,24.6,15.87,5.56,0,2.38,7.94,0,8.73,3.17,11.9,11.9,3.17,4.76,6.35,26.98,1.59,3.17,1.59,0,0.79,2.38,0,2.38,0,0.79,0.79,13.49,0,2.38,2.38,7.94,15.08,2.38,2.38,2.38,3.97,0,4.76,1.59,1.59,0,0,3.17,2.38,0,0,0.79,6.35,0,2.38,1.59,1.59,0.79,0,0,0,0,0,0,13.49,0.79,0,4.76,7.94,0,0,0,372.508,380.0838,125.4386,131.8065,608.1068,476.3003,0.9367,0.588,0.9456,5.3625
102,7,2,30,45,25,0,15,35,0,1,0,0.2643,3,0.05,0.0487,165.1192,94.1775,2,0.0333,0.0675,800.3119433,75.74726167,370.7572817,89,22.64,32.66,94.01,1,2.25,97.75,51.69,22.47,14.61,7.87,0,3.37,3.37,0,7.87,1.12,13.48,7.87,6.74,3.37,5.62,25.84,5.62,2.25,1.12,1.12,0,6.74,0,6.74,1.12,2.25,2.25,10.11,0,0,0,3.37,11.24,5.62,0,1.12,0,0,4.49,2.25,0,1.12,1.12,3.37,0,1.12,0,2.25,10.11,1.12,0,4.49,4.49,0,0,0,0,0,1.12,0,12.36,0,0,2.25,8.99,1.12,6.82,1.14,269.9673,267.1569,76.1477,109.3915,584.0945,474.703,0.6893,0.5373,0.6079,4.7015
102,7,0,55,0,0,0,80,0,0,2,0.092783505,0,0,0,0,0,0,0,0,0,855.7215617,70.586475,337.36927,58,1,4.25,11.5,58.39,10.34,98.28,74.14,37.93,10.34,6.9,0,3.45,0,0,27.59,3.45,10.34,24.14,5.17,1.72,8.62,27.59,6.9,3.45,3.45,1.72,0,8.62,5.17,3.45,0,0,0,3.45,0,0,0,0,13.79,0,0,3.45,0,1.72,8.62,6.9,1.72,1.72,3.45,3.45,0,3.45,0,0,1.72,0,1.72,0,0,0,1.72,1.72,0,0,0,0,5.17,0,0,5.17,0,0,6.9,0,342.2911,315.7885,120.421,98.1442,613.5432,515.399,1.004,0.8634,0.7205,5.9002
102,8,0,25,18,45,0,50,10,0,1,0,0.386,10,0.1667,0.1139,165.0798,94.0476,8,0.1333,0.1396,777.92521,77.7329,356.7441983,247,19.89,67.19,34.59,32.73,7.29,97.98,57.09,24.7,14.17,4.86,0,5.26,3.24,0.81,10.53,5.67,9.72,8.91,6.07,6.07,2.43,24.29,4.05,0,3.24,0,1.62,7.69,4.05,3.64,1.21,1.21,0.4,9.72,0,0,0,3.24,11.34,1.62,2.43,2.83,2.43,0.81,3.24,4.45,3.24,0,1.21,6.07,3.64,1.21,0,3.64,6.48,0,0.4,2.43,3.64,0,0,0.81,0.4,0,0,0,6.88,0,0,1.62,3.24,2.02,2.83,2.02,264.7654,244.554,86.9298,99.9544,614.9038,514.9494,0.7948,0.6396,0.6687,5.9002
102,8,0,60,0,10,0,85,0,0,2,0.030927835,19.0254,53,0.8833,0.6519,166.2993,96.7049,0,0,0,811.013215,74.49911,294.5886183,49,34.5,15.37,7.24,25.77,8.16,100,51.02,28.57,6.12,4.08,0,0,2.04,0,22.45,10.2,4.08,6.12,0,0,6.12,10.2,4.08,0,8.16,4.08,0,0,0,0,0,0,0,4.08,0,0,0,2.04,8.16,0,0,0,4.08,0,4.08,4.08,2.04,0,2.04,6.12,4.08,2.04,0,4.08,6.12,0,4.08,2.04,0,0,0,2.04,0,0,0,0,26.53,0,0,6.12,18.37,2.04,2.04,0,311.0175,300.3247,114.8591,97.1176,612.1371,515.0195,0.9264,0.8257,0.5891,5.0062
102,9,2,50,0,60,0,75,0,,1,0,0.5051,14,0.2333,0.0909,165.1213,89.9608,9,0.15,0.1329,803.1961083,75.24485667,375.0361217,57,1.23,56.98,7.32,25.77,5.26,89.47,61.4,21.05,12.28,3.51,0,7.02,1.75,0,8.77,3.51,3.51,17.54,8.77,3.51,8.77,22.81,1.75,0,0,0,5.26,3.51,1.75,1.75,1.75,0,0,14.04,0,0,0,1.75,19.3,1.75,0,7.02,0,3.51,7.02,1.75,0,1.75,0,1.75,0,0,0,1.75,3.51,1.75,0,0,1.75,0,0,1.75,1.75,0,0,0,7.02,0,0,3.51,0,1.75,3.51,0,262.2755,259.7184,66.8081,119.4419,488.3586,368.9167,0.7857,0.7271,0.4897,2.7956
102,9,0,60,0,0,0,80,0,0,2,0,18.4982,49,0.8167,0.7246,166.2973,95.3588,47,0.7833,0.7547,863.9894083,69.92376833,326.7356567,50,1,65.56,56.63,1,6,94,56,28,22,10,2,8,2,0,6,4,2,18,4,2,12,28,2,0,4,2,0,4,0,4,0,0,0,16,0,0,0,2,16,10,0,2,6,0,0,2,0,2,0,0,0,0,0,0,6,2,4,0,0,0,2,0,0,2,0,0,12,0,0,8,2,2,10,0,239.4598,202.574,97.7156,105.7225,613.1624,507.4399,0.9583,0.8679,0.6198,4.4245
102,10,0,75,0,40,0,80,0,,1,0.742268041,0.7782,17,0.2833,0.1419,165.0651,89.3356,13,0.2167,0.1815,786.470405,77.15821667,359.8141,17,1.23,56.98,7.32,25.77,5.26,89.47,61.4,21.05,12.28,3.51,0,7.02,1.75,0,8.77,3.51,3.51,17.54,8.77,3.51,8.77,22.81,1.75,0,0,0,5.26,3.51,1.75,1.75,1.75,0,0,14.04,0,0,0,1.75,19.3,1.75,0,7.02,0,3.51,7.02,1.75,0,1.75,0,1.75,0,0,0,1.75,3.51,1.75,0,0,1.75,0,0,1.75,1.75,0,0,0,7.02,0,0,3.51,0,1.75,5.88,0,271.4837,269.693,90.5897,100.8479,550.8793,450.0314,0.9177,0.6488,0.8633,5.3428
102,10,0,90,0,0,0,90,0,0,2,0.742268041,18.6856,54,0.9,0.6793,166.2919,92.5226,52,0.8667,0.7048,855.83085,70.89185833,327.371375,5,1,65.56,56.63,1,6,94,56,28,22,10,2,8,2,0,6,4,2,18,4,2,12,28,2,0,4,2,0,4,0,4,0,0,0,16,0,0,0,2,16,10,0,2,6,0,0,2,0,2,0,0,0,0,0,0,6,2,4,0,0,0,2,0,0,2,0,0,12,0,0,8,2,2,20,0,232.0373,162.8394,136.2115,105.5009,596.8068,491.3059,0.8038,0.7549,0.5023,4.0306
